Open,Close,High,Low,Stochastic_Oscillator,Wiki_5day_Disparity,Wiki_3day_Disparity,Google_MA_6,RSI_Move,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_RSI_Move,Wiki_5day_Disparity_Move,Google_EMA5_Move,Google_Move,Google_3day_Disparity_Move,Google_RSI_Move,Google_ROC_Move,Target
83.49854827,82.839859,83.59542015,82.05524578,70.88238688,0.906532909,1.00338524,2343.333333,0,1,0,0,1,1,1,1,1,1,1,0
83.35325428,82.820488,83.40168247,82.72362387,70.58830329,0.877989644,0.992413099,2380,0,0,0,0,0,0,0,0,0,0,0,0
82.72361733,82.83017,82.94640443,82.25865637,69.47842305,0.778215728,0.81241114,2343.333333,1,0,0,0,0,0,1,1,1,1,1,0
82.63641869,82.723602,82.84952495,82.36519474,65.40338893,0.912403218,0.973104255,2428.888889,0,1,0,0,1,1,1,1,1,1,0,1
82.96579426,83.023911,83.28545327,82.54926918,67.45465312,0.916080613,1.013352685,2446.666667,1,0,0,0,0,1,1,1,0,1,1,1
83.20794487,83.033585,83.23700275,82.86891464,57.31396978,1.019401602,1.035523159,2548.333333,1,1,1,0,1,1,1,1,0,1,0,0
82.94640558,82.85923,83.35324885,82.82048261,42.01179852,0.978055889,0.963772877,2565,0,0,0,0,0,0,0,0,0,0,1,1
83.43073691,83.256378,83.60509679,82.82048362,47.81126893,1.041470049,1.03114694,2553.333333,1,1,1,1,1,1,0,0,0,0,0,0
83.36293341,83.643845,83.79883458,83.27575686,61.27937142,1.04702848,1.041579474,2543.333333,1,1,1,1,1,1,0,1,1,1,1,1
83.87631963,84.380028,84.91279425,83.85695029,82.42803137,1.016009519,0.995231788,2531.111111,1,0,1,1,0,0,1,1,1,1,0,1
84.91278983,85.426178,85.63928526,84.68999403,94.0539923,1.073064224,1.041971904,2470,1,1,1,1,1,1,0,0,0,0,0,1
85.43586421,85.513359,85.80396009,84.85466881,92.24797973,1.031274231,1.016387875,2420,1,0,1,1,0,0,1,1,1,1,1,1
85.87176302,85.455238,85.94925684,85.10652019,87.3133684,1.060981155,1.031096563,2421.666667,0,1,1,1,1,1,1,1,1,1,1,0
85.1065274,85.06778,85.42618639,84.670633,77.36326825,1.15271624,1.106650227,3000,0,1,1,1,1,1,1,1,1,1,1,1
85.36806119,85.319633,85.36806119,84.50595417,82.93979956,1.08602596,1.032905297,3080,1,0,1,1,0,0,0,0,0,0,0,1
85.8911376,86.791992,86.96635189,85.67803129,96.29627947,1,0.952763819,3236.666667,1,0,1,1,0,0,1,1,1,1,1,1
87.27631703,85.581161,87.94469574,85.25182027,57.63895841,1.012931034,1.005018547,3430,0,1,0,1,1,1,1,0,1,0,0,0
86.2882857,87.315063,87.45067548,85.96862577,88.33025095,0.977605139,0.998522349,3600,1,0,0,1,0,0,1,0,0,0,0,1
86.98572765,87.276321,87.82845756,86.85011613,86.95653903,0.976813894,0.981761796,3741.666667,0,0,1,0,0,0,1,0,0,0,0,1
87.31507052,87.179459,87.77034297,86.85011825,85.06625856,0.909711788,0.926931106,3355,0,0,0,0,0,0,0,0,0,0,1,0
87.17946133,88.739006,88.74869454,86.92760762,99.83656884,1.096719633,1.106918239,3418.333333,1,1,1,1,1,1,0,0,1,0,0,1
89.01992,89.01992,89.40738525,88.67120118,93.68087524,1.002998702,1.002983739,3393.333333,1,0,1,0,0,0,0,0,1,0,0,1
89.64954618,88.942421,90.50196465,88.70994438,76.53062032,0.980440759,0.948550251,3366.666667,0,0,1,0,0,0,0,0,1,0,0,0
